Ahmet Cosar Erkek 498.704
Ali Kara Erkek 438.220
Ayse Guler Kiz 427.320
Hasan Demir Erkek 17.509
Mert Can Erkek 316.228
Mert Can Erkek 40.308
Fatih Eren Erkek 19.259
Fatih Eren Erkek 357.433
Mehmet Yildiz Erkek 480.766
Hasan Demir Erkek 245.190
Zeynep Turan Kiz 210.082
Elif Aydin Kiz 53.058
Burak Arslan Erkek 24.830
Elif Aydin Kiz 468.034
Elif Aydin Kiz 18.750
Fatma Kaya Kiz 153.707
Fatma Kaya Kiz 64.138
Havva Oz Kiz 166.438
Mert Can Erkek 139.536
Seda Yilmaz Kiz 385.686
Mehmet Yildiz Erkek 278.746
Elif Aydin Kiz 170.178
Seda Yilmaz Kiz 96.012
Mehmet Yildiz Erkek 319.145
Zeynep Turan Kiz 91.567
Mert Can Erkek 176.000
Burak Arslan Erkek 80.035
Burak Arslan Erkek 101.567
Mehmet Yildiz Erkek 492.074
Elif Aydin Kiz 474.192
Fatih Eren Erkek 109.057
Hasan Demir Erkek 328.205
Seda Yilmaz Kiz 411.264
Mehmet Yildiz Erkek 162.706
Fatma Kaya Kiz 52.793
Hasan Demir Erkek 128.079
Zeynep Turan Kiz 197.665
Mehmet Yildiz Erkek 324.689
Mehmet Yildiz Erkek 380.453
Hasan Demir Erkek 9.003
Seda Yilmaz Kiz 13.546
Mert Can Erkek 166.483
Hasan Demir Erkek 146.729
Fatih Eren Erkek 271.620
Havva Oz Kiz 358.517
Mehmet Yildiz Erkek 458.037
Hasan Demir Erkek 247.092
Havva Oz Kiz 298.665
Havva Oz Kiz 251.952
Fatma Kaya Kiz 132.406
Seda Yilmaz Kiz 462.945
Zeynep Turan Kiz 469.326
Fatih Eren Erkek 134.103
Mert Can Erkek 243.219
Mehmet Yildiz Erkek 278.607
Burak Arslan Erkek 60.461
Zeynep Turan Kiz 118.115
Fatma Kaya Kiz 405.395
Burak Arslan Erkek 367.898
Hasan Demir Erkek 413.595
Zeynep Turan Kiz 180.176
Elif Aydin Kiz 383.869
Mehmet Yildiz Erkek 358.019
Elif Aydin Kiz 225.568
Hasan Demir Erkek 97.887
Mert Can Erkek 456.314
Seda Yilmaz Kiz 157.189
Hasan Demir Erkek 92.830
Mehmet Yildiz Erkek 38.106
Mert Can Erkek 244.088
Fatma Kaya Kiz 96.681
Fatih Eren Erkek 209.417
Fatih Eren Erkek 334.048
Havva Oz Kiz 471.393
Seda Yilmaz Kiz 164.506
Seda Yilmaz Kiz 300.940
Elif Aydin Kiz 349.416
Fatma Kaya Kiz 299.032
Elif Aydin Kiz 489.657
Hasan Demir Erkek 394.992
Zeynep Turan Kiz 229.703
Zeynep Turan Kiz 355.787
Havva Oz Kiz 417.158
Elif Aydin Kiz 445.394
Seda Yilmaz Kiz 71.574
Fatih Eren Erkek 109.864
Hasan Demir Erkek 107.658
Hasan Demir Erkek 28.655
Fatma Kaya Kiz 82.623
Fatih Eren Erkek 444.253
Fatma Kaya Kiz 293.585
Burak Arslan Erkek 48.570
Elif Aydin Kiz 383.927
Elif Aydin Kiz 295.233
Mehmet Yildiz Erkek 136.942
Mehmet Yildiz Erkek 87.992
Hasan Demir Erkek 411.450
Seda Yilmaz Kiz 440.575
Mehmet Yildiz Erkek 317.353
Hasan Demir Erkek 424.703
